### Input
<empty>

### Output
django/forms/tests.py::URLFieldTests::test_clean_valid_url PASSED
django/forms/tests.py::URLFieldTests::test_clean_invalid_url PASSED
django/forms/tests.py::URLFieldTests::test_clean_url_with_fragment PASSED
django/forms/tests.py::URLFieldTests::test_clean_url_with_query PASSED
django/forms/tests.py::URLFieldTests::test_clean_url_with_path PASSED
django/forms/tests.py::URLFieldTests::test_clean_url_with_netloc PASSED
django/forms/tests.py::URLFieldTests::test_clean_url_with_port PASSED
django/forms/tests.py::URLFieldTests::test_clean_url_with_user_info PASSED
django/forms/tests.py::URLFieldTests::test_clean_url_with_password PASSED
django/forms/tests.py::URLFieldTests::test_clean_url_with_invalid_scheme PASSED
